week,store_id,sku_id,units_sold,is_featured_sku,is_display_sku
22/01/01,ELEC001,TV101,126,1,0
22/01/08,ELEC001,TV101,131,1,0
22/01/15,ELEC001,TV101,103,0,1
22/01/22,ELEC001,TV101,134,0,1
22/01/29,ELEC001,TV101,136,0,1
22/02/05,ELEC001,TV101,118,1,1
22/02/12,ELEC001,TV101,130,1,1
22/02/19,ELEC001,TV101,126,0,0
22/02/26,ELEC001,TV101,108,1,1
22/03/05,ELEC001,TV101,134,0,1
22/03/12,ELEC001,TV101,125,0,1
22/03/19,ELEC001,TV101,118,1,0
22/03/26,ELEC001,TV101,106,0,1
22/04/02,ELEC001,TV101,104,0,1
22/04/09,ELEC001,TV101,125,0,1
22/04/16,ELEC001,TV101,131,1,1
22/04/23,ELEC001,TV101,96,1,1
22/04/30,ELEC001,TV101,132,1,1
22/05/07,ELEC001,TV101,111,1,0
22/05/14,ELEC001,TV101,125,1,1
22/05/21,ELEC001,TV101,134,0,1
22/05/28,ELEC001,TV101,123,1,0
22/06/04,ELEC001,TV101,125,0,0
22/06/11,ELEC001,TV101,115,1,1
22/06/18,ELEC001,TV101,110,1,0
22/06/25,ELEC001,TV101,125,0,1
22/07/02,ELEC001,TV101,139,0,0
22/07/09,ELEC001,TV101,130,0,0
22/07/16,ELEC001,TV101,135,1,0
22/07/23,ELEC001,TV101,97,0,1
22/07/30,ELEC001,TV101,125,1,1
22/08/06,ELEC001,TV101,130,0,1
22/08/13,ELEC001,TV101,111,0,1
22/08/20,ELEC001,TV101,130,1,1
22/08/27,ELEC001,TV101,131,0,1
22/09/03,ELEC001,TV101,110,1,0
22/09/10,ELEC001,TV101,119,0,0
22/09/17,ELEC001,TV101,113,1,0
22/09/24,ELEC001,TV101,102,1,0
22/10/01,ELEC001,TV101,124,1,0
22/10/08,ELEC001,TV101,135,0,1
22/10/15,ELEC001,TV101,118,1,0
22/10/22,ELEC001,TV101,108,1,1
22/10/29,ELEC001,TV101,130,1,1
22/11/05,ELEC001,TV101,116,1,0
22/11/12,ELEC001,TV101,122,1,0
22/11/19,ELEC001,TV101,112,1,0
22/11/26,ELEC001,TV101,126,1,0
22/12/03,ELEC001,TV101,109,0,0
22/12/10,ELEC001,TV101,120,1,0
22/12/17,ELEC001,TV101,123,1,1
22/12/24,ELEC001,TV101,129,1,1
