week,store_id,sku_id,units_sold,is_featured_sku,is_display_sku
22/01/01,GROC002,MILK202,185,1,1
22/01/08,GROC002,MILK202,204,0,0
22/01/15,GROC002,MILK202,184,1,0
22/01/22,GROC002,MILK202,180,0,1
22/01/29,GROC002,MILK202,193,0,0
22/02/05,GROC002,MILK202,157,1,1
22/02/12,GROC002,MILK202,173,0,1
22/02/19,GROC002,MILK202,182,0,0
22/02/26,GROC002,MILK202,180,0,1
22/03/05,GROC002,MILK202,187,1,0
22/03/12,GROC002,MILK202,180,1,0
22/03/19,GROC002,MILK202,169,0,1
22/03/26,GROC002,MILK202,204,0,0
22/04/02,GROC002,MILK202,180,0,1
22/04/09,GROC002,MILK202,199,1,0
22/04/16,GROC002,MILK202,184,1,1
22/04/23,GROC002,MILK202,154,1,1
22/04/30,GROC002,MILK202,198,1,1
22/05/07,GROC002,MILK202,176,0,0
22/05/14,GROC002,MILK202,166,1,0
22/05/21,GROC002,MILK202,159,0,1
22/05/28,GROC002,MILK202,174,1,0
22/06/04,GROC002,MILK202,174,1,0
22/06/11,GROC002,MILK202,176,1,1
22/06/18,GROC002,MILK202,180,1,1
22/06/25,GROC002,MILK202,198,0,0
22/07/02,GROC002,MILK202,196,1,0
22/07/09,GROC002,MILK202,163,0,1
22/07/16,GROC002,MILK202,173,1,0
22/07/23,GROC002,MILK202,153,1,0
22/07/30,GROC002,MILK202,173,1,0
22/08/06,GROC002,MILK202,187,1,1
22/08/13,GROC002,MILK202,208,1,0
22/08/20,GROC002,MILK202,185,1,0
22/08/27,GROC002,MILK202,176,1,1
22/09/03,GROC002,MILK202,202,0,0
22/09/10,GROC002,MILK202,191,0,1
22/09/17,GROC002,MILK202,215,1,1
22/09/24,GROC002,MILK202,172,0,1
22/10/01,GROC002,MILK202,175,0,0
22/10/08,GROC002,MILK202,190,1,0
22/10/15,GROC002,MILK202,168,1,1
22/10/22,GROC002,MILK202,178,0,1
22/10/29,GROC002,MILK202,164,0,1
22/11/05,GROC002,MILK202,177,0,1
22/11/12,GROC002,MILK202,203,0,1
22/11/19,GROC002,MILK202,192,1,1
22/11/26,GROC002,MILK202,180,1,0
22/12/03,GROC002,MILK202,177,0,0
22/12/10,GROC002,MILK202,183,0,0
22/12/17,GROC002,MILK202,176,1,1
22/12/24,GROC002,MILK202,166,0,0
